The first sizable relief convoy arrived in Iraq during a sandstorm Wednesday as allied forces struggled to clear the way for more aid shipments, using dolphins to remove mines from waterways and hunting Iraqi fighters around the port of Umm Qasr. trigger_text is arrived, event_type is Movement:Transport,text: "convoy", role: "Vehicle",text: "Iraq", role: "Destination",text: "port", role: "Destination",text: "forces", role: "Agent"	The first sizable relief convoy arrived in Iraq during a sandstorm Wednesday as allied forces struggled to clear the way for more aid shipments, using dolphins to remove mines from waterways and hunting Iraqi fighters around the port of Umm Qasr. trigger_text is arrived, event_type is Movement:Transport,text: "more", role: "Vehicle",text: "Iraq", role: "Destination",text: "arrived", role: "Destination",text: "the", role: "Agent"	
The first sizable relief convoy arrived in Iraq during a sandstorm Wednesday as allied forces struggled to clear the way for more aid shipments, using dolphins to remove mines from waterways and hunting Iraqi fighters around the port of Umm Qasr. trigger_text is arrived, event_type is Movement:Transport,text: "convoy", role: "Vehicle",text: "Iraq", role: "Destination",text: "port", role: "Destination",text: "forces", role: "Agent"	The first sizable relief convoy arrived in Iraq during a sandstorm Wednesday as allied forces struggled to clear the way for more aid shipments, using dolphins to remove mines from waterways and hunting Iraqi fighters around the port of Umm Qasr. trigger_text is arrived, event_type is Movement:Transport,text: "forces", role: "Agent"	
The first sizable relief convoy arrived in Iraq during a sandstorm Wednesday as allied forces struggled to clear the way for more aid shipments, using dolphins to remove mines from waterways and hunting Iraqi fighters around the port of Umm Qasr. trigger_text is arrived, event_type is Movement:Transport,text: "convoy", role: "Vehicle",text: "Iraq", role: "Destination",text: "port", role: "Destination",text: "forces", role: "Agent"	The first sizable relief convoy arrived in Iraq during a sandstorm Wednesday as allied forces struggled to clear the way for more aid shipments, using dolphins to remove mines from waterways and hunting Iraqi fighters around the port of Umm Qasr. trigger_text is arrived, event_type is Movement:Transport,text: "convoy", role: "Vehicle",text: "Iraq", role: "Destination",text: "port", role: "Destination",text: "forces", role: "Agent"text: "of", role: "Attacker",text: "shipments,", role: "Plaintiff",text: "for", role: "Artifact",text: "first", role: "Buyer"	
The first sizable relief convoy arrived in Iraq during a sandstorm Wednesday as allied forces struggled to clear the way for more aid shipments, using dolphins to remove mines from waterways and hunting Iraqi fighters around the port of Umm Qasr. trigger_text is arrived, event_type is Movement:Transport,text: "convoy", role: "Vehicle",text: "Iraq", role: "Destination",text: "port", role: "Destination",text: "forces", role: "Agent"	The first sizable relief convoy arrived in Iraq during a sandstorm Wednesday as allied forces struggled to clear the way for more aid shipments, using dolphins to remove mines from waterways and hunting Iraqi fighters around the port of Umm Qasr. trigger_text is of, event_type is Movement:Transport,text: "convoy", role: "Vehicle",text: "Iraq", role: "Destination",text: "port", role: "Destination",text: "forces", role: "Agent"	
The first sizable relief convoy arrived in Iraq during a sandstorm Wednesday as allied forces struggled to clear the way for more aid shipments, using dolphins to remove mines from waterways and hunting Iraqi fighters around the port of Umm Qasr. trigger_text is arrived, event_type is Movement:Transport,text: "convoy", role: "Vehicle",text: "Iraq", role: "Destination",text: "port", role: "Destination",text: "forces", role: "Agent"	The first sizable relief convoy arrived in Iraq during a sandstorm Wednesday as allied forces struggled to clear the way for more aid shipments, using dolphins to remove mines from waterways and hunting Iraqi fighters around the port of Umm Qasr. trigger_text is arrived, event_type is Business:Merge-Org,text: "convoy", role: "Vehicle",text: "Iraq", role: "Destination",text: "port", role: "Destination",text: "forces", role: "Agent"	
See for a confirmation of the electoral arithmetic: the states where Lincoln got an abolute majority of the popular vote (i.e., all the free states except Oregon, California, and New Jersey) were sufficient to bring him a majority in the Electoral College. trigger_text is electoral, event_type is Personnel:Elect,text: "him", role: "Person",text: "states", role: "Place",text: "College", role: "Entity"	See for a confirmation of the electoral arithmetic: the states where Lincoln got an abolute majority of the popular vote (i.e., all the free states except Oregon, California, and New Jersey) were sufficient to bring him a majority in the Electoral College. trigger_text is electoral, event_type is Personnel:Elect,text: "to", role: "Person",text: "where", role: "Place",text: "Oregon,", role: "Entity"	
See for a confirmation of the electoral arithmetic: the states where Lincoln got an abolute majority of the popular vote (i.e., all the free states except Oregon, California, and New Jersey) were sufficient to bring him a majority in the Electoral College. trigger_text is electoral, event_type is Personnel:Elect,text: "him", role: "Person",text: "states", role: "Place",text: "College", role: "Entity"	See for a confirmation of the electoral arithmetic: the states where Lincoln got an abolute majority of the popular vote (i.e., all the free states except Oregon, California, and New Jersey) were sufficient to bring him a majority in the Electoral College. trigger_text is electoral, event_type is Personnel:Elect,text: "him", role: "Person",text: "states", role: "Place"	
See for a confirmation of the electoral arithmetic: the states where Lincoln got an abolute majority of the popular vote (i.e., all the free states except Oregon, California, and New Jersey) were sufficient to bring him a majority in the Electoral College. trigger_text is electoral, event_type is Personnel:Elect,text: "him", role: "Person",text: "states", role: "Place",text: "College", role: "Entity"	See for a confirmation of the electoral arithmetic: the states where Lincoln got an abolute majority of the popular vote (i.e., all the free states except Oregon, California, and New Jersey) were sufficient to bring him a majority in the Electoral College. trigger_text is electoral, event_type is Personnel:Elect,text: "him", role: "Person",text: "states", role: "Place",text: "College", role: "Entity"text: "New", role: "Agent"	
See for a confirmation of the electoral arithmetic: the states where Lincoln got an abolute majority of the popular vote (i.e., all the free states except Oregon, California, and New Jersey) were sufficient to bring him a majority in the Electoral College. trigger_text is electoral, event_type is Personnel:Elect,text: "him", role: "Person",text: "states", role: "Place",text: "College", role: "Entity"	See for a confirmation of the electoral arithmetic: the states where Lincoln got an abolute majority of the popular vote (i.e., all the free states except Oregon, California, and New Jersey) were sufficient to bring him a majority in the Electoral College. trigger_text is majority, event_type is Personnel:Elect,text: "him", role: "Person",text: "states", role: "Place",text: "College", role: "Entity"	
See for a confirmation of the electoral arithmetic: the states where Lincoln got an abolute majority of the popular vote (i.e., all the free states except Oregon, California, and New Jersey) were sufficient to bring him a majority in the Electoral College. trigger_text is electoral, event_type is Personnel:Elect,text: "him", role: "Person",text: "states", role: "Place",text: "College", role: "Entity"	See for a confirmation of the electoral arithmetic: the states where Lincoln got an abolute majority of the popular vote (i.e., all the free states except Oregon, California, and New Jersey) were sufficient to bring him a majority in the Electoral College. trigger_text is electoral, event_type is Justice:Extradite,text: "him", role: "Person",text: "states", role: "Place",text: "College", role: "Entity"	
